id,category,difficulty,run,prompt,response,expected,correct,confidence,latency_ms,success
1,sentiment,3,1,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I suppose the service was adequate, if you don't mind waiting an eternity for lukewarm food.""

Answer concisely with jus",negative,negative,1,1.0,2564.7795000040787,True
1,sentiment,3,2,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I suppose the service was adequate, if you don't mind waiting an eternity for lukewarm food.""

Answer concisely with jus",negative,negative,1,1.0,2459.607500000857,True
2,sentiment,3,1,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's certainly one way to run a business into the ground.""

Answer concisely with just the answer, no explanatio",negative,negative,1,1.0,2508.885699993698,True
2,sentiment,3,2,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's certainly one way to run a business into the ground.""

Answer concisely with just the answer, no explanatio",negative,negative,1,1.0,2472.5875000003725,True
3,sentiment,3,1,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The renovation exceeded our expectations, though the contractor's timeline estimates were... optimistic.""

Answer concis",neutral,positive,0,0.0,2738.3291000005556,True
3,sentiment,3,2,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The renovation exceeded our expectations, though the contractor's timeline estimates were... optimistic.""

Answer concis",neutral,positive,0,0.0,2503.6529999997583,True
4,sentiment,3,1,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Answer concisely with just the answer, no explanation.
",neutral.,negative,0,0.0,2509.045499995409,True
4,sentiment,3,2,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Answer concisely with just the answer, no explanation.
",neutral,negative,0,0.0,2498.857799997495,True
5,sentiment,3,1,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The app works perfectly, assuming you enjoy watching loading screens.""

Answer concisely with just the answer, no explan",negative,negative,1,1.0,2495.066899995436,True
5,sentiment,3,2,"Here are some examples:

Example 1:
Question: The service was terrible and the food was cold.
Answer: negative

Example 2:
Question: I had an amazing time at the concert!
Answer: positive

Example 3:
Question: The weather today is partly cloudy.
Answer: neutral

Now answer this question:
Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The app works perfectly, assuming you enjoy watching loading screens.""

Answer concisely with just the answer, no explan",negative,negative,1,1.0,2503.055300003325,True
