id,category,difficulty,run,prompt,response,expected,correct,confidence,latency_ms,success
1,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I suppose the service was adequate, if you don't mind waiting an eternity for lukewarm food.""

Respond with exactly one word: positive, negative, or neutral.",negative,negative,1,1.0,6067.714500000875,True
1,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I suppose the service was adequate, if you don't mind waiting an eternity for lukewarm food.""

Respond with exactly one word: positive, negative, or neutral.",Neutral,negative,0,0.0,2357.175700002699,True
2,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's certainly one way to run a business into the ground.""

Respond with exactly one word: positive, negative, or neutral.",Negative.,negative,1,1.0,2621.6987000007066,True
2,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's certainly one way to run a business into the ground.""

Respond with exactly one word: positive, negative, or neutral.",Negative.,negative,1,1.0,2561.4366000008886,True
3,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The renovation exceeded our expectations, though the contractor's timeline estimates were... optimistic.""

Respond with exactly one word: positive, negative, or neutral.",positive,positive,1,1.0,2617.2861000013654,True
3,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The renovation exceeded our expectations, though the contractor's timeline estimates were... optimistic.""

Respond with exactly one word: positive, negative, or neutral.",positive.,positive,1,1.0,2481.738199996471,True
4,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,negative,0,0.0,2542.115800002648,True
4,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Respond with exactly one word: positive, negative, or neutral.",neutral,negative,0,0.0,2502.722700002778,True
5,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The app works perfectly, assuming you enjoy watching loading screens.""

Respond with exactly one word: positive, negative, or neutral.",negative,negative,1,1.0,2689.1611000028206,True
5,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The app works perfectly, assuming you enjoy watching loading screens.""

Respond with exactly one word: positive, negative, or neutral.",neutral,negative,0,0.0,2400.6995000017923,True
6,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The movie wasn't bad, but I've seen better.""

Respond with exactly one word: positive, negative, or neutral.",Neutral.,neutral,1,1.0,2597.285000003467,True
6,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The movie wasn't bad, but I've seen better.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,neutral,1,1.0,2576.652900002955,True
7,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I guess the product works fine, nothing special though.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,neutral,1,1.0,2608.8788000051863,True
7,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I guess the product works fine, nothing special though.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,neutral,1,1.0,2589.010000003327,True
8,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's one way to handle the situation...""

Respond with exactly one word: positive, negative, or neutral.",neutral.,negative,0,0.0,2619.089600004372,True
8,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's one way to handle the situation...""

Respond with exactly one word: positive, negative, or neutral.",Neutral.,negative,0,0.0,2584.389600000577,True
9,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The hotel was decent for the price we paid.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,neutral,1,1.0,2505.3146999998717,True
9,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The hotel was decent for the price we paid.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,neutral,1,1.0,2503.943399999116,True
