id,category,difficulty,run,prompt,response,expected,correct,confidence,latency_ms,success
1,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I suppose the service was adequate, if you don't mind waiting an eternity for lukewarm food.""

Answer concisely with just the answer, no explanation.",Negative,negative,1,1.0,2584.9308999968343,True
1,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I suppose the service was adequate, if you don't mind waiting an eternity for lukewarm food.""

Answer concisely with just the answer, no explanation.",Negative.,negative,1,1.0,2557.9281999962404,True
2,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's certainly one way to run a business into the ground.""

Answer concisely with just the answer, no explanation.",Negative,negative,1,1.0,2503.4011999960057,True
2,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's certainly one way to run a business into the ground.""

Answer concisely with just the answer, no explanation.",Negative.,negative,1,1.0,2519.587299997511,True
3,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The renovation exceeded our expectations, though the contractor's timeline estimates were... optimistic.""

Answer concisely with just the answer, no explanation.",Positive.,positive,1,1.0,2578.4321000028285,True
3,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The renovation exceeded our expectations, though the contractor's timeline estimates were... optimistic.""

Answer concisely with just the answer, no explanation.",Neutral.,positive,0,0.0,2610.5234999995446,True
4,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Answer concisely with just the answer, no explanation.",Neutral.,negative,0,0.0,2572.03739999386,True
4,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Answer concisely with just the answer, no explanation.",Neutral,negative,0,0.0,2522.169700001541,True
5,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The app works perfectly, assuming you enjoy watching loading screens.""

Answer concisely with just the answer, no explanation.",Negative,negative,1,1.0,2512.1155999950133,True
5,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The app works perfectly, assuming you enjoy watching loading screens.""

Answer concisely with just the answer, no explanation.",Negative,negative,1,1.0,2477.290599999833,True
6,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The movie wasn't bad, but I've seen better.""

Answer concisely with just the answer, no explanation.",Neutral.,neutral,1,1.0,2539.9407999939285,True
6,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The movie wasn't bad, but I've seen better.""

Answer concisely with just the answer, no explanation.",Negative.,neutral,0,0.0,2545.578799996292,True
7,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I guess the product works fine, nothing special though.""

Answer concisely with just the answer, no explanation.",Neutral.,neutral,1,1.0,2607.2907999987365,True
7,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I guess the product works fine, nothing special though.""

Answer concisely with just the answer, no explanation.",Neutral.,neutral,1,1.0,2608.553400001256,True
8,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's one way to handle the situation...""

Answer concisely with just the answer, no explanation.",Negative,negative,1,1.0,2521.6054000047734,True
8,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's one way to handle the situation...""

Answer concisely with just the answer, no explanation.",Negative,negative,1,1.0,2526.6499999997905,True
9,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The hotel was decent for the price we paid.""

Answer concisely with just the answer, no explanation.",Neutral.,neutral,1,1.0,2574.56639999873,True
9,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The hotel was decent for the price we paid.""

Answer concisely with just the answer, no explanation.",Neutral.,neutral,1,1.0,2563.7752000038745,True
10,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Not my favorite, but my kids seemed to enjoy it.""

Answer concisely with just the answer, no explanation.",Neutral.,neutral,1,1.0,2594.284200000402,True
10,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Not my favorite, but my kids seemed to enjoy it.""

Answer concisely with just the answer, no explanation.",Neutral,neutral,1,1.0,2518.10650000698,True
11,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Oh great, another meeting that could have been an email.""

Answer concisely with just the answer, no explanation.",Negative.,negative,1,1.0,2534.44540000055,True
11,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Oh great, another meeting that could have been an email.""

Answer concisely with just the answer, no explanation.",Negative,negative,1,1.0,2547.9272000011406,True
12,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The restaurant was empty for a reason, as we soon discovered.""

Answer concisely with just the answer, no explanation.",Negative.,negative,1,1.0,2511.4503000004333,True
12,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The restaurant was empty for a reason, as we soon discovered.""

Answer concisely with just the answer, no explanation.",Negative.,negative,1,1.0,2498.1919000056223,True
13,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I'm sure the designer tried their best with what they had.""

Answer concisely with just the answer, no explanation.",Neutral.,negative,0,0.0,2591.686100000516,True
13,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I'm sure the designer tried their best with what they had.""

Answer concisely with just the answer, no explanation.",Neutral.,negative,0,0.0,2596.069699997315,True
14,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""What a surprise to find such quality at this establishment.""

Answer concisely with just the answer, no explanation.",Positive.,positive,1,1.0,2488.704800001869,True
14,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""What a surprise to find such quality at this establishment.""

Answer concisely with just the answer, no explanation.",Negative.,positive,0,0.0,2514.581900002668,True
15,sentiment,3,1,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The presentation was certainly... memorable.""

Answer concisely with just the answer, no explanation.",Positive.,negative,0,0.0,2594.8589999970864,True
15,sentiment,3,2,"You are an expert sentiment analyst with years of experience in natural language processing and emotion detection.

Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The presentation was certainly... memorable.""

Answer concisely with just the answer, no explanation.",Positive,negative,0,0.0,2473.409600002924,True
16,math,3,1,"You are a mathematics professor who specializes in problem-solving and has taught arithmetic for 20 years.

Question: A store offers 30% off, then an additional 20% off the sale price. What is the total percentage discount from the original price?

Answer concisely with just the answer, no explanation.",58%,44,0,0.0,2581.155599997146,True
16,math,3,2,"You are a mathematics professor who specializes in problem-solving and has taught arithmetic for 20 years.

Question: A store offers 30% off, then an additional 20% off the sale price. What is the total percentage discount from the original price?

Answer concisely with just the answer, no explanation.",58%.,44,0,0.0,2539.089000005333,True
