id,category,difficulty,run,prompt,response,expected,correct,confidence,latency_ms,success
1,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I suppose the service was adequate, if you don't mind waiting an eternity for lukewarm food.""

Respond with exactly one word: positive, negative, or neutral.",Neutral,negative,0,0,2357.175700002699,TRUE
4,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,negative,0,0,2542.115800002648,TRUE
4,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""My mother-in-law's cooking is exactly as good as you'd expect.""

Respond with exactly one word: positive, negative, or neutral.",neutral,negative,0,0,2502.722700002778,TRUE
5,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The app works perfectly, assuming you enjoy watching loading screens.""

Respond with exactly one word: positive, negative, or neutral.",neutral,negative,0,0,2400.6995000017923,TRUE
8,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's one way to handle the situation...""

Respond with exactly one word: positive, negative, or neutral.",neutral.,negative,0,0,2619.089600004372,TRUE
8,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""Well, that's one way to handle the situation...""

Respond with exactly one word: positive, negative, or neutral.",Neutral.,negative,0,0,2584.389600000577,TRUE
13,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I'm sure the designer tried their best with what they had.""

Respond with exactly one word: positive, negative, or neutral.",neutral,negative,0,0,2602.167199998803,TRUE
13,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""I'm sure the designer tried their best with what they had.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,negative,0,0,2626.962199996342,TRUE
15,sentiment,3,1,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The presentation was certainly... memorable.""

Respond with exactly one word: positive, negative, or neutral.",neutral.,negative,0,0,2637.592899998708,TRUE
15,sentiment,3,2,"Question: What is the sentiment of this text? Options: positive, negative, neutral. Text: ""The presentation was certainly... memorable.""

Respond with exactly one word: positive, negative, or neutral.",positive,negative,0,0,2453.1946999995853,TRUE
16,math,3,1,"Question: A store offers 30% off, then an additional 20% off the sale price. What is the total percentage discount from the original price?

Respond with only the numerical answer.",58%,44,0,0,2538.8049999965006,TRUE
16,math,3,2,"Question: A store offers 30% off, then an additional 20% off the sale price. What is the total percentage discount from the original price?

Respond with only the numerical answer.",36%,44,0,0,2567.5668000039877,TRUE
17,math,3,1,"Question: If a clock loses 15 minutes every hour, what time will it show after 4 real hours if it started at 12:00?

Respond with only the numerical answer.",9:45,1:00,0,0,2678.0795000013313,TRUE
17,math,3,2,"Question: If a clock loses 15 minutes every hour, what time will it show after 4 real hours if it started at 12:00?

Respond with only the numerical answer.",6:45,1:00,0,0,2523.993900002097,TRUE
18,math,3,1,"Question: A boat travels upstream at 8 km/h and downstream at 12 km/h. What is the speed of the current?

Respond with only the numerical answer.",5,2,0,0,2580.5448000028264,TRUE
18,math,3,2,"Question: A boat travels upstream at 8 km/h and downstream at 12 km/h. What is the speed of the current?

Respond with only the numerical answer.",5,2,0,0,2591.461599993636,TRUE
19,math,3,1,"Question: Two candles of equal length burn at different rates. One burns in 4 hours, the other in 6 hours. After how many hours will one be twice the length of the other?

Respond with only the numerical answer.",8,3,0,0,2617.224499997974,TRUE
19,math,3,2,"Question: Two candles of equal length burn at different rates. One burns in 4 hours, the other in 6 hours. After how many hours will one be twice the length of the other?

Respond with only the numerical answer.",8,3,0,0,2523.5188999940874,TRUE
20,math,3,1,"Question: A ladder leans against a wall. The foot is 6 meters from the wall and reaches 8 meters up. How long is the ladder?

Respond with only the numerical answer.",10.39,10,0,0,2550.0223000053666,TRUE
20,math,3,2,"Question: A ladder leans against a wall. The foot is 6 meters from the wall and reaches 8 meters up. How long is the ladder?

Respond with only the numerical answer.",9.2,10,0,0,2732.1467000001576,TRUE
21,math,3,1,"Question: If you write all integers from 1 to 100, how many times do you write the digit 9?

Respond with only the numerical answer.",19,20,0,0,2590.889099999913,TRUE
21,math,3,2,"Question: If you write all integers from 1 to 100, how many times do you write the digit 9?

Respond with only the numerical answer.",19,20,0,0,2498.885799999698,TRUE
22,math,3,2,"Question: A store sells notebooks for $3 each. If you buy 4 notebooks and pay with a $20 bill, how much change do you get?

Respond with only the numerical answer.",$12,8,0,0,2504.966799999238,TRUE
24,math,3,1,"Question: John has 24 cookies. He gives 1/3 to his sister and eats 4 himself. How many cookies are left?

Respond with only the numerical answer.",19,12,0,0,2508.0139999990934,TRUE
24,math,3,2,"Question: John has 24 cookies. He gives 1/3 to his sister and eats 4 himself. How many cookies are left?

Respond with only the numerical answer.",15,12,0,0,2482.5849999979255,TRUE
25,math,3,1,"Question: A shirt originally costs $40. It's on sale for 25% off. What is the sale price?

Respond with only the numerical answer.",28.75,30,0,0,2635.9365999960573,TRUE
28,math,3,1,"Question: You score 85, 92, and 78 on three tests. What is your average score?

Respond with only the numerical answer.",83.67,85,0,0,2511.776599996665,TRUE
28,math,3,2,"Question: You score 85, 92, and 78 on three tests. What is your average score?

Respond with only the numerical answer.",83,85,0,0,2528.256400000828,TRUE
29,math,3,2,"Question: A tank is 1/3 full. After adding 40 liters, it becomes 2/3 full. What is the tank's total capacity?

Respond with only the numerical answer.",240 liters.,120,0,0,2496.0559000028297,TRUE
30,math,3,1,"Question: If the price of an item increases by 20% and then decreases by 20%, what is the net percentage change?

Respond with only the numerical answer.",0%,-4,0,0,2565.3019999954267,TRUE
30,math,3,2,"Question: If the price of an item increases by 20% and then decreases by 20%, what is the net percentage change?

Respond with only the numerical answer.",0%,-4,0,0,2596.0233000005246,TRUE
32,math,3,1,"Question: Three pipes can fill a tank in 6, 8, and 12 hours respectively. How long to fill the tank if all three pipes are open?

Respond with only the numerical answer.",4,2.67,0,0,2592.9213000054006,TRUE
32,math,3,2,"Question: Three pipes can fill a tank in 6, 8, and 12 hours respectively. How long to fill the tank if all three pipes are open?

Respond with only the numerical answer.","The question is incomplete without knowing the total capacity of the tank or how much of it each pipe can fill per hour.

However, we can calculate the rate at which each pipe fills the tank and then add those rates together to find the combined rate:

Pipe 1: 1/6 of the tank per hour
Pipe 2: 1/8 of the tank per hour
Pipe 3: 1/12 of the tank per hour

Combined rate: 1/6 + 1/8 + 1/12 = 4/24 + 3/24 + 2/24 = 9/24 = 3/8 of the tank per hour.

So, if all three pipes are open, it would take 8 hours to",2.67,0,0,5266.1398,TRUE
33,math,3,1,"Question: A sum of money doubles in 5 years at simple interest. What is the rate of interest per annum?

Respond with only the numerical answer.",10%,20,0,0,2480.6345000033616,TRUE
33,math,3,2,"Question: A sum of money doubles in 5 years at simple interest. What is the rate of interest per annum?

Respond with only the numerical answer.",10%,20,0,0,2635.3474000061397,TRUE
34,math,3,1,"Question: If 8 men can complete a work in 12 days, how many men are needed to complete the same work in 6 days?

Respond with only the numerical answer.",24,16,0,0,2489.881699999387,TRUE
34,math,3,2,"Question: If 8 men can complete a work in 12 days, how many men are needed to complete the same work in 6 days?

Respond with only the numerical answer.",24,16,0,0,2516.8737999993027,TRUE
35,math,3,1,"Question: A merchant marks his goods 40% above cost price and gives a 20% discount. What is his profit percentage?

Respond with only the numerical answer.",60%,12,0,0,2616.9620000000577,TRUE
35,math,3,2,"Question: A merchant marks his goods 40% above cost price and gives a 20% discount. What is his profit percentage?

Respond with only the numerical answer.",50%,12,0,0,2588.711599993985,TRUE
36,logic,3,1,"Question: All roses are flowers. Some flowers fade quickly. Can we conclude that some roses fade quickly?

Respond with only: true or false.",FALSE,no,0,0,2541.510600000038,TRUE
36,logic,3,2,"Question: All roses are flowers. Some flowers fade quickly. Can we conclude that some roses fade quickly?

Respond with only: true or false.",True.,no,0,0,2656.405400004587,TRUE
37,logic,3,1,"Question: If no heroes are cowards, and some soldiers are heroes, can we conclude that some soldiers are not cowards?

Respond with only: true or false.",TRUE,yes,0,0,2632.278500001121,TRUE
37,logic,3,2,"Question: If no heroes are cowards, and some soldiers are heroes, can we conclude that some soldiers are not cowards?

Respond with only: true or false.",True.,yes,0,0,2540.6939999957103,TRUE
38,logic,3,1,"Question: All managers are employees. No employees are shareholders. Tom is a shareholder. Can Tom be a manager?

Respond with only: true or false.",False.,no,0,0,2632.6794999986305,TRUE
38,logic,3,2,"Question: All managers are employees. No employees are shareholders. Tom is a shareholder. Can Tom be a manager?

Respond with only: true or false.",False.,no,0,0,2615.195300000778,TRUE
39,logic,3,1,"Question: Some cats are black. All black things absorb heat. Can we conclude all cats absorb heat?

Respond with only: true or false.",False.,no,0,0,2545.128500001738,TRUE
39,logic,3,2,"Question: Some cats are black. All black things absorb heat. Can we conclude all cats absorb heat?

Respond with only: true or false.",FALSE,no,0,0,2483.881599997403,TRUE
40,logic,3,1,"Question: If P implies Q, and R implies not-Q, and we know R is true, what can we say about P?

Respond with only: true or false.",False.,P is false,0,0,2599.529799997981,TRUE
40,logic,3,2,"Question: If P implies Q, and R implies not-Q, and we know R is true, what can we say about P?

Respond with only: true or false.",True.,P is false,0,0,2544.4080000015674,TRUE
41,logic,3,1,"Question: All A are B. All B are C. Is it true that all A are C?

Respond with only: true or false.",False.,yes,0,0,2585.989899998822,TRUE
41,logic,3,2,"Question: All A are B. All B are C. Is it true that all A are C?

Respond with only: true or false.",FALSE,yes,0,0,2504.8687,TRUE
42,logic,3,1,"Question: No fish are mammals. All dolphins are mammals. Are any dolphins fish?

Respond with only: true or false.",False.,no,0,0,2553.643100000045,TRUE
42,logic,3,2,"Question: No fish are mammals. All dolphins are mammals. Are any dolphins fish?

Respond with only: true or false.",False.,no,0,0,2561.667900001339,TRUE
43,logic,3,1,"Question: If it rains, the picnic is cancelled. The picnic was not cancelled. Did it rain?

Respond with only: true or false.",False.,no,0,0,2580.8614999987185,TRUE
43,logic,3,2,"Question: If it rains, the picnic is cancelled. The picnic was not cancelled. Did it rain?

Respond with only: true or false.",False.,no,0,0,2595.759999996517,TRUE
44,logic,3,1,"Question: Some doctors are musicians. All musicians are artists. Are some doctors artists?

Respond with only: true or false.",True.,yes,0,0,2640.572800002701,TRUE
44,logic,3,2,"Question: Some doctors are musicians. All musicians are artists. Are some doctors artists?

Respond with only: true or false.",True.,yes,0,0,2540.733399997407,TRUE
45,logic,3,1,"Question: All squares are rectangles. Not all rectangles are squares. Can a shape be a rectangle but not a square?

Respond with only: true or false.",true.,yes,0,0,2649.2673000029754,TRUE
45,logic,3,2,"Question: All squares are rectangles. Not all rectangles are squares. Can a shape be a rectangle but not a square?

Respond with only: true or false.",true.,yes,0,0,2585.707700003695,TRUE
46,logic,3,1,"Question: If A implies B, and B implies C, and we know C is false, what can we conclude about A?

Respond with only: true or false.",FALSE,A is false,0,0,2510.363600005803,TRUE
46,logic,3,2,"Question: If A implies B, and B implies C, and we know C is false, what can we conclude about A?

Respond with only: true or false.",False.,A is false,0,0,2640.327100001741,TRUE
47,logic,3,1,"Question: All politicians are liars. No liars are trustworthy. Some trustworthy people are teachers. Can any politicians be teachers?

Respond with only: true or false.",False.,yes,0,0,2664.4900999963284,TRUE
47,logic,3,2,"Question: All politicians are liars. No liars are trustworthy. Some trustworthy people are teachers. Can any politicians be teachers?

Respond with only: true or false.",False.,yes,0,0,2556.940399997984,TRUE
48,logic,3,1,"Question: If not A then B. If B then C. If not C then D. We know D is false. What is A?

Respond with only: true or false.",False.,TRUE,0,0,2629.1836999953375,TRUE
49,logic,3,1,"Question: Some X are Y. All Y are Z. No Z are W. Can any X be W?

Respond with only: true or false.",TRUE,some cannot,0,0,2595.2983000024687,TRUE
49,logic,3,2,"Question: Some X are Y. All Y are Z. No Z are W. Can any X be W?

Respond with only: true or false.",True.,some cannot,0,0,2615.8657999985735,TRUE
50,logic,3,2,"Question: If either A or B is true (but not both), and if A is true then C is true, and C is false, what is B?

Respond with only: true or false.",FALSE,TRUE,0,0,2418.7839000005624,TRUE
51,classification,3,1,"Question: What category does this text belong to? Options: technology, sports, food, finance, health, science, social. Text: ""The neural implant shows promise for treating depression, but FDA approval and insurance coverage remain uncertain.""

Respond with only the category name.",science,health,0,0,2550.282899996091,TRUE
53,classification,3,1,"Question: What category does this text belong to? Options: technology, sports, food, finance, health, science, social. Text: ""The fermentation process yields both artisanal flavors and potentially profitable probiotic strains.""

Respond with only the category name.",science,food,0,0,2525.7988999946974,TRUE
53,classification,3,2,"Question: What category does this text belong to? Options: technology, sports, food, finance, health, science, social. Text: ""The fermentation process yields both artisanal flavors and potentially profitable probiotic strains.""

Respond with only the category name.",science,food,0,0,2496.983099998033,TRUE
54,classification,3,1,"Question: What category does this text belong to? Options: technology, sports, food, finance, health, science, social. Text: ""Quantum computing threatens current encryption standards, sending cybersecurity stocks into turmoil.""

Respond with only the category name.",science,finance,0,0,2602.3223999945913,TRUE
54,classification,3,2,"Question: What category does this text belong to? Options: technology, sports, food, finance, health, science, social. Text: ""Quantum computing threatens current encryption standards, sending cybersecurity stocks into turmoil.""

Respond with only the category name.",science,finance,0,0,2602.807,TRUE
63,classification,3,1,"Question: What category does this text belong to? Options: technology, sports, food, finance, health, science, social. Text: ""Smart home devices are revolutionizing how we manage our health and daily routines.""

Respond with only the category name.",science,technology,0,0,2488.1277000022237,TRUE
63,classification,3,2,"Question: What category does this text belong to? Options: technology, sports, food, finance, health, science, social. Text: ""Smart home devices are revolutionizing how we manage our health and daily routines.""

Respond with only the category name.",science,technology,0,0,2498.6614,TRUE
